"","...1","Division","Season","Spectators","Date","Home","Away","HG","AG","HS","AS","HST","AST","HF","AF","HY","AY","HR","AR","AvgH","AvgD","AvgA","Avg.2.5","Avg.2.5.1","HP","AP","ProbH","ProbD","ProbA","HEP","AEP","goalsDiff","pointsDiff","expPointsDiff","shotsDiff","shotsTargetDiff","foulsDiff","yellowDiff","redDiff","Season_c"
"20",20,"D1",10,"Yes","31.08.2019","Bayern Munich","Mainz",6,1,19,7,10,4,16,12,3,3,0,0,1.09,11.05,28.84,1.24,3.93,3,0,0.879942986855886,0.0867998059432503,0.0332572072008639,2.72662876651091,0.186571427545842,5,3,2.54005733896507,12,6,4,0,0,0
"21",21,"D1",10,"Yes","31.08.2019","Freiburg","FC Koln",1,2,14,9,1,3,6,15,0,2,0,0,2.45,3.45,2.87,1.73,2.11,0,3,0.390045498414449,0.276988832207362,0.332965669378188,1.44712532745071,1.27588584034193,-1,-3,0.171239487108783,5,-2,-9,-2,0,0
"22",22,"D1",10,"Yes","31.08.2019","Leverkusen","Hoffenheim",0,0,20,6,2,1,7,11,2,2,0,0,1.55,4.88,5.08,1.35,3.17,1,1,0.616241262391743,0.195732368177705,0.188026369430552,2.04445615535293,0.75981147646936,0,0,1.28464467888357,14,1,-4,0,0,0
"23",23,"D1",10,"Yes","31.08.2019","Schalke 04","Hertha",3,0,9,9,2,3,13,9,1,1,0,0,2.12,3.45,3.51,1.83,1.98,3,0,0.450758802443355,0.276988017733308,0.272253179823337,1.62926442506337,1.09374755720332,3,3,0.535516867860054,0,-1,4,0,0,0
"24",24,"D1",10,"Yes","31.08.2019","Wolfsburg","Paderborn",1,1,15,7,5,3,8,12,0,3,0,0,1.46,4.85,6.46,1.39,2.96,1,1,0.654862928374955,0.197133994933492,0.148003076691553,2.16172278005836,0.641143225008152,0,0,1.52057955505021,8,2,-4,-3,0,0
"25",25,"D1",10,"Yes","31.08.2019","Union Berlin","Dortmund",3,1,15,13,7,2,13,2,0,0,0,0,8.99,5.56,1.32,1.46,2.7,3,0,0.106072518730922,0.171509342336509,0.722418138932569,0.489726898529276,2.33876375913422,2,3,-1.84903686060494,2,5,11,0,0,0
"26",26,"D1",10,"Yes","01.09.2019","Werder Bremen","Augsburg",3,2,15,12,5,6,9,11,1,4,0,1,1.7,4.03,4.77,1.59,2.36,3,0,0.562356837150522,0.237222487135456,0.200420675714022,1.92429299858702,0.838484514277523,1,3,1.0858084843095,3,-1,-2,-3,-1,0
"27",27,"D1",10,"Yes","01.09.2019","Ein Frankfurt","Fortuna Dusseldorf",2,1,15,14,8,4,13,15,2,4,0,0,1.69,4.08,4.77,1.55,2.43,3,0,0.565446669049134,0.234216880071823,0.200336450879043,1.93055688721922,0.835226232708953,1,3,1.09533065451027,1,4,-2,-2,0,0
"28",28,"D1",10,"Yes","13.09.2019","Fortuna Dusseldorf","Wolfsburg",1,1,12,15,3,6,7,14,0,2,0,0,3.03,3.62,2.28,1.65,2.24,1,1,0.315859566944502,0.264379692773989,0.419760740281509,1.21195839360749,1.52366191361852,0,0,-0.311703520011022,-3,-3,-7,-2,0,0
"29",29,"D1",10,"Yes","14.09.2019","Augsburg","Ein Frankfurt",2,1,9,23,6,3,8,8,2,1,0,0,3.48,3.69,2.05,1.61,2.32,3,0,0.27467619472979,0.259044216167932,0.466279589102278,1.0830728003573,1.65788298347477,1,3,-0.574810183117463,-14,3,0,1,0,0
"30",30,"D1",10,"Yes","14.09.2019","Dortmund","Leverkusen",4,0,11,22,9,12,9,11,0,3,0,0,1.82,4.01,4.04,1.43,2.81,3,0,0.525110691897288,0.238329540960864,0.236559767141848,1.81366161665273,0.948008842386407,4,3,0.865652774266322,-11,-3,-2,-3,0,0
"31",31,"D1",10,"Yes","14.09.2019","FC Koln","M'gladbach",0,1,14,15,7,4,22,17,2,2,0,0,2.57,3.53,2.66,1.65,2.24,0,3,0.371166214063507,0.270225827236037,0.358607958700456,1.38372446942656,1.3460497033374,-1,-3,0.037674766089153,-1,3,5,0,0,0
"32",32,"D1",10,"Yes","14.09.2019","Mainz","Hertha",2,1,14,16,5,8,16,11,2,2,0,0,2.38,3.44,2.98,1.78,2.05,3,0,0.401522866498504,0.277797797170476,0.32067933633102,1.48236639666599,1.23983580616354,1,3,0.242530590502452,-2,-3,5,0,0,0
"33",33,"D1",10,"Yes","14.09.2019","Union Berlin","Werder Bremen",1,2,12,16,5,7,23,10,3,4,1,1,2.79,3.5,2.48,1.67,2.21,0,3,0.342214617452945,0.272793937912491,0.384991444634564,1.29943779027133,1.42776827181618,-1,-3,-0.128330481544855,-4,-2,13,-1,0,0
"34",34,"D1",10,"Yes","14.09.2019","RB Leipzig","Bayern Munich",1,1,12,14,6,7,11,4,4,2,0,0,3.78,4.04,1.87,1.47,2.68,1,1,0.252714537073585,0.236450730232216,0.510834732694199,0.994594341452971,1.76895492831481,0,0,-0.774360586861841,-2,-1,7,2,0,0
"35",35,"D1",10,"Yes","15.09.2019","Hoffenheim","Freiburg",0,3,22,16,5,8,10,6,0,2,0,0,1.69,4.2,4.6,1.55,2.45,0,3,0.565044454843238,0.227363125877398,0.207592419279364,1.92249649040711,0.850140383715489,-3,-3,1.07235610669162,6,-3,4,-2,0,0
"36",36,"D1",10,"Yes","15.09.2019","Paderborn","Schalke 04",1,5,9,18,1,11,17,12,2,1,0,0,3.04,3.64,2.26,1.54,2.45,0,3,0.314435984466257,0.262605877136654,0.422958138397089,1.20591383053543,1.53148029232792,-4,-3,-0.325566461792496,-9,-10,5,1,0,0
"37",37,"D1",10,"Yes","20.09.2019","Schalke 04","Mainz",2,1,19,14,6,3,7,15,1,1,0,0,1.66,4.07,5.11,1.67,2.22,3,0,0.577128744467415,0.235389119365088,0.187482136167497,1.96677535276733,0.797835527867579,1,3,1.16893982489975,5,3,-8,0,0,0
