"","Division","Season","Capacity","Spectators","Covid","Occupancy","Date","Home","Away","HG","AG","HS","AS","HST","AST","HF","AF","HY","AY","HR","AR","AvgH","AvgD","AvgA","Avg.2.5","Avg.2.5.1","HP","AP","ProbH","ProbD","ProbA","HEP","AEP","goalsDiff","shotsDiff","shotsTargetDiff","pointsDiff","expPointsDiff","foulsDiff","yellowDiff","redDiff","Season_c"
"17","E0",12,32384,29485,"No",0.910480484189723,"22/08/2021","Southampton","Man United",1,1,8,15,3,4,12,10,2,3,0,0,5.36,4.26,1.61,1.72,2.16,1,1,0.178973847783768,0.225187752141079,0.595838400075153,0.762109295492383,2.01270295236654,0,-7,-1,0,-1.25059365687416,2,-1,0,0
"18","E0",12,32050,30368,"No",0.947519500780031,"22/08/2021","Wolves","Tottenham",0,1,25,8,6,6,9,7,1,4,0,0,3.2,3.15,2.43,2.24,1.67,0,3,0.300052919386135,0.304815664138296,0.395131416475569,1.2049744222967,1.490209913565,-1,17,0,-3,-0.285235491268301,2,-3,0,0
"19","E0",12,60704,58729,"No",0.967465076436479,"22/08/2021","Arsenal","Chelsea",0,2,6,22,3,5,10,4,3,0,0,0,4.76,3.74,1.78,2.07,1.79,0,3,0.202147429279372,0.257278546355565,0.540574024365063,0.863720834193682,1.87900061945075,-2,-16,-2,-3,-1.01527978525707,6,3,0,0
"20","E0",12,60000,59901,"No",0.99835,"23/08/2021","West Ham","Leicester",4,1,13,5,7,1,8,8,0,1,0,1,2.58,3.44,2.75,1.8,2.04,3,0,0.371998647277646,0.278998985458235,0.349002367264119,1.39499492729117,1.32600608725059,3,8,6,3,0.0689888400405818,0,-1,-1,0
"21","E0",12,55017,52276,"No",0.950179035570824,"28/08/2021","Man City","Arsenal",5,0,25,1,10,0,5,7,1,2,0,1,1.26,6.16,11.99,1.57,2.45,3,0,0.763572679509632,0.156185320808788,0.0802419996815794,2.44690335933768,0.396911319853527,5,24,10,3,2.04999203948416,-2,-1,-1,0
"22","E0",12,42682,42045,"No",0.985075675928963,"28/08/2021","Aston Villa","Brentford",1,1,7,9,5,2,15,14,3,3,0,0,2,3.57,3.84,1.97,1.88,1,1,0.480524943215277,0.269201648860099,0.250273407924624,1.71077647850593,1.02002187263397,0,-2,3,0,0.690754605871961,1,0,0,0
"23","E0",12,31800,30548,"No",0.96062893081761,"28/08/2021","Brighton","Everton",0,2,14,14,3,5,7,9,1,2,0,0,2.35,3.25,3.27,2.23,1.68,0,3,0.409545463303725,0.29613287346577,0.294321663230505,1.52476926337694,1.17909786315729,-2,0,-2,-3,0.345671400219657,-2,-1,0,0
"24","E0",12,52338,44017,"No",0.841014177079751,"28/08/2021","Newcastle","Southampton",2,2,10,22,5,6,11,6,3,3,0,0,2.52,3.47,2.82,1.83,2.03,1,1,0.38170243639853,0.277201769372996,0.341095794228474,1.42230907856859,1.30048915205842,0,-12,-1,0,0.121819926510169,5,0,0,0
"25","E0",12,27244,26765,"No",0.982418147114961,"28/08/2021","Norwich","Leicester",1,2,14,9,4,3,8,9,2,1,0,0,4.34,3.55,1.9,1.8,2.06,0,3,0.221889597999868,0.271267846568853,0.506842555431278,0.936936640568458,1.79179551286269,-1,5,1,-3,-0.85485887229423,-1,1,0,0
"26","E0",12,60000,59571,"No",0.99285,"28/08/2021","West Ham","Crystal Palace",2,2,14,9,4,2,10,7,1,0,0,0,1.58,4.02,6.29,1.89,1.96,1,1,0.608188456690944,0.239039244172062,0.152772299136994,2.06360461424489,0.697356141583044,0,5,2,0,1.36624847266185,3,1,0,0
"27","E0",12,54074,53100,"No",0.98198764655842,"28/08/2021","Liverpool","Chelsea",1,1,24,6,7,3,13,4,0,2,0,1,2.5,3.33,2.95,2.02,1.83,1,1,0.38488060023116,0.288949399572943,0.326170000195898,1.44359120026642,1.26745940016064,0,18,4,0,0.176131800105785,9,-2,-1,0
"28","E0",12,21994,18665,"No",0.848640538328635,"29/08/2021","Burnley","Leeds",1,1,12,12,3,2,13,9,4,3,0,0,3.07,3.51,2.33,1.77,2.09,1,1,0.313259611370087,0.273990600258167,0.412749788371746,1.21376943436843,1.5122399653734,0,0,1,0,-0.298470531004976,4,1,0,0
"29","E0",12,62062,57672,"No",0.929264284102994,"29/08/2021","Tottenham","Watford",1,0,15,9,8,2,8,14,3,3,0,0,1.44,4.48,8.42,1.85,2,3,0,0.670039220144376,0.215369749332121,0.114591030523504,2.22548740976525,0.559142840902632,1,6,6,3,1.66634456886262,-6,0,0,0
"30","E0",12,32050,30621,"No",0.955413416536661,"29/08/2021","Wolves","Man United",0,1,15,10,6,3,7,9,3,4,0,0,4.91,3.48,1.82,2.01,1.83,0,3,0.195743681350945,0.276178584894581,0.528077733754474,0.863409628947417,1.860411786158,-1,5,3,-3,-0.997002157210584,-2,-1,0,0
"31","E0",12,26047,22740,"No",0.873037201981034,"11/09/2021","Crystal Palace","Tottenham",3,0,18,2,4,1,13,15,2,1,0,1,4.25,3.44,1.95,2.1,1.77,3,0,0.226503013624622,0.279836572065304,0.493660414310074,0.95934561293917,1.76081781499553,3,16,3,3,-0.801472202056356,-2,1,-1,0
"32","E0",12,60704,60000,"No",0.988402741170269,"11/09/2021","Arsenal","Norwich",1,0,30,10,7,1,9,11,1,2,0,0,1.52,4.48,6.4,1.71,2.17,3,0,0.634201585503964,0.215175537938845,0.150622876557191,2.11778029445074,0.667044167610419,1,20,6,3,1.45073612684032,-2,-1,0,0
"33","E0",12,17250,16518,"No",0.957565217391304,"11/09/2021","Brentford","Brighton",0,1,7,4,1,2,9,12,3,2,0,0,2.86,3.14,2.69,2.46,1.57,0,3,0.336244645785895,0.306261046798618,0.357494307415487,1.3149949841563,1.37874396904508,-1,3,-1,-3,-0.0637489848887756,-3,1,0,0
"34","E0",12,32273,32087,"No",0.99423666842252,"11/09/2021","Leicester","Man City",0,1,6,25,1,8,4,11,1,2,0,0,5.7,4.22,1.6,1.74,2.14,0,3,0.169112858788759,0.228422581776286,0.602464559434955,0.735761158142564,2.03581626008115,-1,-19,-7,-3,-1.30005510193859,-7,-1,0,0
"35","E0",12,74879,72732,"No",0.971327074346613,"11/09/2021","Man United","Newcastle",4,1,21,12,7,3,9,2,1,0,0,0,1.2,7.27,14.77,1.44,2.79,3,0,0.802370094279209,0.132440730830131,0.0651891748906602,2.53955101366776,0.328008255502111,3,9,4,3,2.21154275816565,7,1,0,0
"36","E0",12,32384,30000,"No",0.926383399209486,"11/09/2021","Southampton","West Ham",0,0,11,13,3,3,10,12,3,1,0,1,2.89,3.46,2.47,1.72,2.15,1,1,0.332745416389255,0.277928974960968,0.389325608649777,1.27616522412873,1.4459058009103,0,-2,0,0,-0.169740576781564,-2,2,-1,0
"37","E0",12,21577,20019,"No",0.927793483802197,"11/09/2021","Watford","Wolves",0,2,6,14,2,5,15,13,3,3,0,0,3.36,3.19,2.33,2.3,1.64,0,3,0.286094249785411,0.301340651811593,0.412565098402996,1.15962340116783,1.53903594702058,-2,-8,-3,-3,-0.379412545852756,2,0,0,0
"38","E0",12,40853,39969,"No",0.978361442244144,"11/09/2021","Chelsea","Aston Villa",3,0,12,18,4,6,11,11,1,4,0,0,1.3,5.46,11.28,1.78,2.07,3,0,0.738910724312184,0.175931124836234,0.0851581508515815,2.39266329777279,0.431405577390979,3,-6,-2,3,1.96125772038181,0,-3,0,0
"39","E0",12,37890,36507,"No",0.963499604117181,"12/09/2021","Leeds","Liverpool",0,3,9,30,4,9,9,8,2,1,1,0,4.34,4.05,1.78,1.57,2.44,0,3,0.221738969954969,0.237616575211004,0.540644454834026,0.902833485075912,1.85954993971308,-3,-21,-5,-3,-0.956716454637171,1,1,1,0
