Div;Season;Capacity;Spectators;Date;HomeTeam;AwayTeam
E0;3;60704;60079;18.08.2012;Arsenal;Sunderland
E0;3;25800;25394;18.08.2012;Fulham;Norwich
E0;3;52338;50517;18.08.2012;Newcastle;Tottenham
E0;3;18360;17779;18.08.2012;QPR;Swansea
E0;3;24161;23862;18.08.2012;Reading;Stoke
E0;3;26850;25360;18.08.2012;West Brom;Liverpool
E0;3;35345;34720;18.08.2012;West Ham;Aston Villa
E0;3;48000;46974;19.08.2012;Man City;Southampton
E0;3;25133;19359;19.08.2012;Wigan;Chelsea
E0;3;39571;36356;20.08.2012;Everton;Man United
E0;3;42000;41462;22.08.2012;Chelsea;Reading
E0;3;42682;35060;25.08.2012;Aston Villa;Everton
E0;3;42000;41462;25.08.2012;Chelsea;Newcastle
E0;3;75800;75530;25.08.2012;Man United;Fulham
E0;3;27244;26672;25.08.2012;Norwich;QPR
E0;3;32384;30874;25.08.2012;Southampton;Wigan
E0;3;21088;20370;25.08.2012;Swansea;West Ham
E0;3;36284;36030;25.08.2012;Tottenham;West Brom
E0;3;45000;44749;26.08.2012;Liverpool;Man City
E0;3;30089;26722;26.08.2012;Stoke;Arsenal
E0;3;48000;46974;01.09.2012;Man City;QPR
E0;3;21088;20370;01.09.2012;Swansea;Sunderland
E0;3;36284;36030;01.09.2012;Tottenham;Norwich
E0;3;26850;25360;01.09.2012;West Brom;Everton
E0;3;35345;34720;01.09.2012;West Ham;Fulham
E0;3;25133;19359;01.09.2012;Wigan;Stoke
E0;3;45000;44749;02.09.2012;Liverpool;Arsenal
E0;3;52338;50517;02.09.2012;Newcastle;Aston Villa
E0;3;32384;30874;02.09.2012;Southampton;Man United
E0;3;60704;60079;15.09.2012;Arsenal;Southampton
E0;3;42682;35060;15.09.2012;Aston Villa;Swansea
E0;3;25800;25394;15.09.2012;Fulham;West Brom
E0;3;75800;75530;15.09.2012;Man United;Wigan
E0;3;27244;26672;15.09.2012;Norwich;West Ham
E0;3;18360;17779;15.09.2012;QPR;Chelsea
E0;3;30089;26722;15.09.2012;Stoke;Man City
E0;3;48707;40544;15.09.2012;Sunderland;Liverpool
E0;3;24161;23862;16.09.2012;Reading;Tottenham
E0;3;39571;36356;17.09.2012;Everton;Newcastle
E0;3;42000;41462;22.09.2012;Chelsea;Stoke
E0;3;32384;30874;22.09.2012;Southampton;Aston Villa
E0;3;21088;20370;22.09.2012;Swansea;Everton
E0;3;26850;25360;22.09.2012;West Brom;Reading
E0;3;35345;34720;22.09.2012;West Ham;Sunderland
E0;3;25133;19359;22.09.2012;Wigan;Fulham
E0;3;45000;44749;23.09.2012;Liverpool;Man United
