Spectators;Season;Capacity;New;Date;Time;HomeTeam;AwayTeam
26913;12;27244;26913;31.10.2021;14:00;Norwich;Leeds
41874;12;42682;41874;31.10.2021;16:30;Aston Villa;West Ham
30617;12;32050;30617;01.11.2021;20:00;Wolves;Everton
30178;12;32384;30178;05.11.2021;20:00;Southampton;Aston Villa
73086;12;74879;73086;06.11.2021;12:30;Man United;Man City
16837;12;17250;16837;06.11.2021;15:00;Brentford;Norwich
39798;12;40853;39798;06.11.2021;15:00;Chelsea;Burnley
24390;12;26047;24390;06.11.2021;15:00;Crystal Palace;Wolves
31267;12;31800;31267;06.11.2021;17:30;Brighton;Newcastle
59833;12;60704;59833;07.11.2021;14:00;Arsenal;Watford
39059;12;39571;39059;07.11.2021;14:00;Everton;Tottenham
36478;12;37890;36478;07.11.2021;14:00;Leeds;Leicester
59909;12;60000;59909;07.11.2021;16:30;West Ham;Liverpool
32192;12;32273;32192;20.11.2021;12:30;Leicester;Chelsea
41925;12;42682;41925;20.11.2021;15:00;Aston Villa;Brighton
18028;12;21994;18028;20.11.2021;15:00;Burnley;Crystal Palace
52131;12;52338;52131;20.11.2021;15:00;Newcastle;Brentford
26885;12;27244;26885;20.11.2021;15:00;Norwich;Southampton
21087;12;21577;21087;20.11.2021;15:00;Watford;Man United
30667;12;32050;30667;20.11.2021;15:00;Wolves;West Ham
53092;12;54074;53092;20.11.2021;17:30;Liverpool;Arsenal
52571;12;55017;52571;21.11.2021;14:00;Man City;Everton
58989;12;62062;58989;21.11.2021;16:30;Tottenham;Leeds
59886;12;60704;59886;27.11.2021;12:30;Arsenal;Newcastle
25203;12;26047;25203;27.11.2021;15:00;Crystal Palace;Aston Villa
53040;12;54074;53040;27.11.2021;15:00;Liverpool;Southampton
26911;12;27244;26911;27.11.2021;15:00;Norwich;Wolves
31166;12;31800;31166;27.11.2021;17:30;Brighton;Leeds
16957;12;17250;16957;28.11.2021;14:00;Brentford;Everton
32020;12;32273;32020;28.11.2021;14:00;Leicester;Watford
52571;12;55017;52571;28.11.2021;14:00;Man City;West Ham
40041;12;40853;40041;28.11.2021;16:30;Chelsea;Man United
50757;12;52338;50757;30.11.2021;19:30;Newcastle;Norwich
35558;12;37890;35558;30.11.2021;20:15;Leeds;Crystal Palace
26951;12;32384;26951;01.12.2021;19:30;Southampton;Leicester
20388;12;21577;20388;01.12.2021;19:30;Watford;Chelsea
59626;12;60000;59626;01.12.2021;19:30;West Ham;Brighton
30328;12;32050;30328;01.12.2021;19:30;Wolves;Burnley
41400;12;42682;41400;01.12.2021;20:15;Aston Villa;Man City
39641;12;39571;39641;01.12.2021;20:15;Everton;Liverpool
54202;12;62062;54202;02.12.2021;19:30;Tottenham;Brentford
73123;12;74879;73123;02.12.2021;20:15;Man United;Arsenal
59942;12;60000;59942;04.12.2021;12:30;West Ham;Chelsea
51948;12;52338;51948;04.12.2021;15:00;Newcastle;Burnley
28706;12;32384;28706;04.12.2021;15:00;Southampton;Brighton
30729;12;32050;30729;04.12.2021;15:00;Wolves;Liverpool
20673;12;21577;20673;04.12.2021;17:30;Watford;Man City
35639;12;37890;35639;05.12.2021;14:00;Leeds;Brentford
73172;12;74879;73172;05.12.2021;14:00;Man United;Crystal Palace
57088;12;62062;57088;05.12.2021;14:00;Tottenham;Norwich
41572;12;42682;41572;05.12.2021;16:30;Aston Villa;Leicester
38906;12;39571;38906;06.12.2021;20:00;Everton;Arsenal
16861;12;17250;16861;10.12.2021;20:00;Brentford;Watford
52613;12;55017;52613;11.12.2021;12:30;Man City;Wolves
59653;12;60704;59653;11.12.2021;15:00;Arsenal;Southampton
39959;12;40853;39959;11.12.2021;15:00;Chelsea;Leeds
53093;12;54074;53093;11.12.2021;15:00;Liverpool;Aston Villa
27606;12;27244;27606;11.12.2021;17:30;Norwich;Man United
18065;12;21994;18065;12.12.2021;14:00;Burnley;West Ham
31959;12;32273;31959;12.12.2021;14:00;Leicester;Newcastle
24066;12;26047;24066;12.12.2021;16:30;Crystal Palace;Everton
26836;12;27244;26836;14.12.2021;19:45;Norwich;Aston Villa
52401;12;55017;52401;14.12.2021;20:00;Man City;Leeds
30362;12;31800;30362;15.12.2021;19:30;Brighton;Wolves
22861;12;26047;22861;15.12.2021;19:30;Crystal Palace;Southampton
59777;12;60704;59777;15.12.2021;20:00;Arsenal;West Ham
13933;12;40853;13933;16.12.2021;19:45;Chelsea;Everton
52951;12;54074;52951;16.12.2021;20:00;Liverpool;Newcastle
36166;12;37890;36166;18.12.2021;17:30;Leeds;Arsenal
52127;12;52338;52127;19.12.2021;14:00;Newcastle;Man City
30631;12;32050;30631;19.12.2021;14:00;Wolves;Chelsea
45421;12;62062;45421;19.12.2021;16:30;Tottenham;Liverpool
53226;12;55017;53226;26.12.2021;15:00;Man City;Leicester
26940;12;27244;26940;26.12.2021;15:00;Norwich;Arsenal
40539;12;62062;40539;26.12.2021;15:00;Tottenham;Crystal Palace
45000;12;60000;45000;26.12.2021;15:00;West Ham;Southampton
40468;12;42682;40468;26.12.2021;17:30;Aston Villa;Chelsea
30141;12;31800;30141;26.12.2021;20:00;Brighton;Brentford
52178;12;52338;52178;27.12.2021;20:00;Newcastle;Man United
24433;12;26047;24433;28.12.2021;15:00;Crystal Palace;Norwich
31304;12;32384;31304;28.12.2021;15:00;Southampton;Tottenham
20073;12;21577;20073;28.12.2021;15:00;Watford;West Ham
32230;12;32273;32230;28.12.2021;20:00;Leicester;Liverpool
40080;12;40853;40080;29.12.2021;19:30;Chelsea;Brighton
0;12;17250;0;29.12.2021;20:15;Brentford;Man City
73121;12;74879;73121;30.12.2021;20:15;Man United;Burnley
59757;12;60704;59757;01.01.2022;12:30;Arsenal;Man City
20391;12;21577;20391;01.01.2022;15:00;Watford;Tottenham
24351;12;26047;24351;01.01.2022;17:30;Crystal Palace;West Ham
16876;12;17250;16876;02.01.2022;14:00;Brentford;Aston Villa
38203;12;39571;38203;02.01.2022;14:00;Everton;Brighton
36083;12;37890;36083;02.01.2022;14:00;Leeds;Burnley
40072;12;40853;40072;02.01.2022;16:30;Chelsea;Liverpool
0;12;74879;0;03.01.2022;17:30;Man United;Wolves
27383;12;32384;27383;11.01.2022;19:45;Southampton;Brentford
59775;12;60000;59775;12.01.2022;19:45;West Ham;Norwich
30675;12;31800;30675;14.01.2022;20:00;Brighton;Crystal Palace
53319;12;55017;53319;15.01.2022;12:30;Man City;Chelsea
52223;12;52338;52223;15.01.2022;15:00;Newcastle;Watford
26629;12;27244;26629;15.01.2022;15:00;Norwich;Everton
30057;12;32050;30057;15.01.2022;15:00;Wolves;Southampton
41907;12;42682;41907;15.01.2022;17:30;Aston Villa;Man United
52824;12;54074;52824;16.01.2022;14:00;Liverpool;Brentford
59951;12;60000;59951;16.01.2022;14:00;West Ham;Leeds
