Div;Season;Capacity;Spectators;Date;Time;HomeTeam;AwayTeam
E1;12;;;28.09.2021;19:45;Cardiff;West Brom
E1;12;;;28.09.2021;19:45;Huddersfield;Blackburn
E1;12;;;28.09.2021;19:45;Hull;Blackpool
E1;12;;;28.09.2021;19:45;Middlesbrough;Sheffield United
E1;12;;;28.09.2021;19:45;Preston;Stoke
E1;12;;;28.09.2021;19:45;QPR;Birmingham
E1;12;;;29.09.2021;19:45;Barnsley;Nott'm Forest
E1;12;;;29.09.2021;19:45;Derby;Reading
E1;12;;;29.09.2021;19:45;Fulham;Swansea
E1;12;;;29.09.2021;19:45;Luton;Coventry
E1;12;;;29.09.2021;19:45;Millwall;Bristol City
E1;12;;;29.09.2021;19:45;Peterboro;Bournemouth
E1;12;;;01.10.2021;19:45;Stoke;West Brom
E1;12;;;02.10.2021;12:30;Coventry;Fulham
E1;12;;;02.10.2021;15:00;Barnsley;Millwall
E1;12;;;02.10.2021;15:00;Birmingham;Nott'm Forest
E1;12;;;02.10.2021;15:00;Blackpool;Blackburn
E1;12;;;02.10.2021;15:00;Bournemouth;Sheffield United
E1;12;;;02.10.2021;15:00;Cardiff;Reading
E1;12;;;02.10.2021;15:00;Derby;Swansea
E1;12;;;02.10.2021;15:00;Hull;Middlesbrough
E1;12;;;02.10.2021;15:00;Luton;Huddersfield
E1;12;;;02.10.2021;15:00;Peterboro;Bristol City
E1;12;;;02.10.2021;15:00;QPR;Preston
E1;12;;;15.10.2021;20:00;West Brom;Birmingham
E1;12;;;16.10.2021;12:30;Fulham;QPR
E1;12;;;16.10.2021;15:00;Blackburn;Coventry
E1;12;;;16.10.2021;15:00;Bristol City;Bournemouth
E1;12;;;16.10.2021;15:00;Huddersfield;Hull
E1;12;;;16.10.2021;15:00;Middlesbrough;Peterboro
E1;12;;;16.10.2021;15:00;Millwall;Luton
E1;12;;;16.10.2021;15:00;Nott'm Forest;Blackpool
E1;12;;;16.10.2021;15:00;Preston;Derby
E1;12;;;16.10.2021;15:00;Reading;Barnsley
E1;12;;;16.10.2021;15:00;Sheffield United;Stoke
E1;12;;;17.10.2021;12:00;Swansea;Cardiff
E1;12;;;19.10.2021;19:45;Bristol City;Nott'm Forest
E1;12;;;19.10.2021;19:45;Derby;Luton
E1;12;;;19.10.2021;19:45;QPR;Blackburn
E1;12;;;19.10.2021;19:45;Sheffield United;Millwall
E1;12;;;19.10.2021;19:45;Stoke;Bournemouth
E1;12;;;20.10.2021;19:45;Fulham;Cardiff
E1;12;;;20.10.2021;19:45;Huddersfield;Birmingham
E1;12;;;20.10.2021;19:45;Hull;Peterboro
E1;12;;;20.10.2021;19:45;Middlesbrough;Barnsley
E1;12;;;20.10.2021;19:45;Preston;Coventry
E1;12;;;20.10.2021;19:45;Swansea;West Brom
E1;12;;;20.10.2021;20:00;Reading;Blackpool
E1;12;;;23.10.2021;12:30;Cardiff;Middlesbrough
E1;12;;;23.10.2021;15:00;Birmingham;Swansea
E1;12;;;23.10.2021;15:00;Blackburn;Reading
E1;12;;;23.10.2021;15:00;Blackpool;Preston
E1;12;;;23.10.2021;15:00;Bournemouth;Huddersfield
E1;12;;;23.10.2021;15:00;Coventry;Derby
E1;12;;;23.10.2021;15:00;Luton;Hull
E1;12;;;23.10.2021;15:00;Millwall;Stoke
E1;12;;;23.10.2021;15:00;Peterboro;QPR
E1;12;;;23.10.2021;15:00;West Brom;Bristol City
E1;12;;;24.10.2021;12:30;Barnsley;Sheffield United
E1;12;;;24.10.2021;15:00;Nott'm Forest;Fulham
E1;12;;;29.10.2021;19:45;QPR;Nott'm Forest
E1;12;;;30.10.2021;12:30;Fulham;West Brom
E1;12;;;30.10.2021;15:00;Bristol City;Barnsley
E1;12;;;30.10.2021;15:00;Derby;Blackburn
E1;12;;;30.10.2021;15:00;Huddersfield;Millwall
E1;12;;;30.10.2021;15:00;Hull;Coventry
E1;12;;;30.10.2021;15:00;Middlesbrough;Birmingham
E1;12;;;30.10.2021;15:00;Preston;Luton
E1;12;;;30.10.2021;15:00;Sheffield United;Blackpool
E1;12;;;30.10.2021;15:00;Stoke;Cardiff
E1;12;;;30.10.2021;15:00;Swansea;Peterboro
E1;12;;;30.10.2021;20:00;Reading;Bournemouth
E1;12;;;02.11.2021;19:45;Birmingham;Bristol City
E1;12;;;02.11.2021;19:45;Coventry;Swansea
E1;12;;;02.11.2021;19:45;Luton;Middlesbrough
E1;12;;;02.11.2021;19:45;Millwall;Reading
E1;12;;;02.11.2021;19:45;Nott'm Forest;Sheffield United
E1;12;;;02.11.2021;19:45;Peterboro;Huddersfield
E1;12;;;03.11.2021;19:45;Barnsley;Derby
E1;12;;;03.11.2021;19:45;Blackburn;Fulham
E1;12;;;03.11.2021;19:45;Blackpool;Stoke
E1;12;;;03.11.2021;19:45;Bournemouth;Preston
E1;12;;;03.11.2021;19:45;Cardiff;QPR
E1;12;;;03.11.2021;20:00;West Brom;Hull
E1;12;;;06.11.2021;15:00;Barnsley;Hull
E1;12;;;06.11.2021;15:00;Blackburn;Sheffield United
E1;12;;;06.11.2021;15:00;Bournemouth;Swansea
E1;12;;;06.11.2021;15:00;Cardiff;Huddersfield
E1;12;;;06.11.2021;15:00;Coventry;Bristol City
E1;12;;;06.11.2021;15:00;Luton;Stoke
E1;12;;;06.11.2021;15:00;Millwall;Derby
E1;12;;;06.11.2021;15:00;Nott'm Forest;Preston
E1;12;;;06.11.2021;15:00;Peterboro;Fulham
E1;12;;;06.11.2021;15:00;West Brom;Middlesbrough
E1;12;;;06.11.2021;15:30;Birmingham;Reading
E1;12;;;06.11.2021;17:30;Blackpool;QPR
E1;12;;;19.11.2021;19:45;QPR;Luton
E1;12;;;20.11.2021;12:30;Sheffield United;Coventry
E1;12;;;20.11.2021;15:00;Bristol City;Blackburn
E1;12;;;20.11.2021;15:00;Fulham;Barnsley
E1;12;;;20.11.2021;15:00;Huddersfield;West Brom
E1;12;;;20.11.2021;15:00;Hull;Birmingham
E1;12;;;20.11.2021;15:00;Middlesbrough;Millwall
E1;12;;;20.11.2021;15:00;Preston;Cardiff
E1;12;;;20.11.2021;15:00;Reading;Nott'm Forest
E1;12;;;20.11.2021;15:00;Stoke;Peterboro
E1;12;;;20.11.2021;15:00;Swansea;Blackpool
E1;12;;;21.11.2021;12:00;Derby;Bournemouth
E1;12;;;23.11.2021;19:45;Blackpool;West Brom
E1;12;;;23.11.2021;19:45;Coventry;Birmingham
E1;12;;;23.11.2021;19:45;Middlesbrough;Preston
E1;12;;;23.11.2021;19:45;Nott'm Forest;Luton
E1;12;;;23.11.2021;20:00;Reading;Sheffield United
E1;12;;;24.11.2021;19:45;Barnsley;Swansea
E1;12;;;24.11.2021;19:45;Blackburn;Peterboro
E1;12;;;24.11.2021;19:45;Bristol City;Stoke
E1;12;;;24.11.2021;19:45;Cardiff;Hull
E1;12;;;24.11.2021;19:45;Fulham;Derby
E1;12;;;24.11.2021;19:45;Millwall;Bournemouth
E1;12;;;24.11.2021;19:45;QPR;Huddersfield
E1;12;;;26.11.2021;20:00;West Brom;Nott'm Forest
E1;12;;;27.11.2021;12:30;Preston;Fulham
E1;12;;;27.11.2021;15:00;Birmingham;Blackpool
E1;12;;;27.11.2021;15:00;Bournemouth;Coventry
E1;12;;;27.11.2021;15:00;Huddersfield;Middlesbrough
E1;12;;;27.11.2021;15:00;Hull;Millwall
E1;12;;;27.11.2021;15:00;Luton;Cardiff
E1;12;;;27.11.2021;15:00;Peterboro;Barnsley
E1;12;;;27.11.2021;15:00;Stoke;Blackburn
E1;12;;;27.11.2021;15:00;Swansea;Reading
E1;12;;;28.11.2021;12:30;Sheffield United;Bristol City
E1;12;;;29.11.2021;19:45;Derby;QPR
E1;12;;;03.12.2021;19:45;Fulham;Bournemouth
E1;12;;;04.12.2021;12:30;Coventry;West Brom
E1;12;;;04.12.2021;15:00;Barnsley;Huddersfield
E1;12;;;04.12.2021;15:00;Blackburn;Preston
E1;12;;;04.12.2021;15:00;Blackpool;Luton
E1;12;;;04.12.2021;15:00;Bristol City;Derby
E1;12;;;04.12.2021;15:00;Cardiff;Sheffield United
E1;12;;;04.12.2021;15:00;Middlesbrough;Swansea
E1;12;;;04.12.2021;15:00;Millwall;Birmingham
E1;12;;;04.12.2021;15:00;Nott'm Forest;Peterboro
E1;12;;;04.12.2021;15:00;Reading;Hull
E1;12;;;05.12.2021;14:30;QPR;Stoke
E1;12;;;11.12.2021;12:30;Huddersfield;Coventry
E1;12;;;11.12.2021;15:00;Birmingham;Cardiff
E1;12;;;11.12.2021;15:00;Bournemouth;Blackburn
E1;12;;;11.12.2021;15:00;Derby;Blackpool
E1;12;;;11.12.2021;15:00;Hull;Bristol City
E1;12;;;11.12.2021;15:00;Luton;Fulham
E1;12;;;11.12.2021;15:00;Peterboro;Millwall
E1;12;;;11.12.2021;15:00;Preston;Barnsley
E1;12;;;11.12.2021;15:00;Stoke;Middlesbrough
E1;12;;;11.12.2021;15:00;Swansea;Nott'm Forest
E1;12;;;11.12.2021;15:00;West Brom;Reading
E1;12;;;17.12.2021;19:45;Barnsley;West Brom
E1;12;;;18.12.2021;12:30;Middlesbrough;Bournemouth
E1;12;;;18.12.2021;15:00;Blackburn;Birmingham
E1;12;;;18.12.2021;15:00;Blackpool;Peterboro
E1;12;;;18.12.2021;15:00;Bristol City;Huddersfield
E1;12;;;18.12.2021;15:00;Nott'm Forest;Hull
E1;12;;;20.12.2021;19:45;Fulham;Sheffield United
E1;12;;;26.12.2021;15:00;Huddersfield;Blackpool
E1;12;;;26.12.2021;15:00;Middlesbrough;Nott'm Forest
E1;12;;;27.12.2021;15:00;Derby;West Brom
E1;12;;;27.12.2021;17:30;QPR;Bournemouth
E1;12;;;29.12.2021;19:45;Blackburn;Barnsley
E1;12;;;29.12.2021;19:45;Blackpool;Middlesbrough
E1;12;;;29.12.2021;19:45;Coventry;Millwall
E1;12;;;30.12.2021;19:45;Bournemouth;Cardiff
E1;12;;;30.12.2021;19:45;Bristol City;QPR
E1;12;;;30.12.2021;19:45;Nott'm Forest;Huddersfield
E1;12;;;30.12.2021;19:45;Stoke;Derby
E1;12;;;01.01.2022;15:00;Blackpool;Hull
E1;12;;;02.01.2022;13:00;Bristol City;Millwall
E1;12;;;02.01.2022;14:00;Birmingham;QPR
E1;12;;;02.01.2022;14:00;Blackburn;Huddersfield
E1;12;;;02.01.2022;14:00;West Brom;Cardiff
