Div;Season;Capacity;Spectators;Date;Time;HomeTeam;AwayTeam
E0;11;19000;0;12.09.2020;12:30;Fulham;Arsenal
E0;11;26047;0;12.09.2020;15:00;Crystal Palace;Southampton
E0;11;54074;0;12.09.2020;17:30;Liverpool;Leeds
E0;11;60000;0;12.09.2020;20:00;West Ham;Newcastle
E0;11;26850;0;13.09.2020;14:00;West Brom;Leicester
E0;11;62062;0;13.09.2020;16:30;Tottenham;Everton
E0;11;31800;0;14.09.2020;20:15;Brighton;Chelsea
E0;11;32702;0;14.09.2020;18:00;Sheffield United;Wolves
E0;11;39571;0;19.09.2020;12:30;Everton;West Brom
E0;11;37890;0;19.09.2020;15:00;Leeds;Fulham
E0;11;74879;0;19.09.2020;17:30;Man United;Crystal Palace
E0;11;60704;0;19.09.2020;20:00;Arsenal;West Ham
E0;11;32384;0;20.09.2020;12:00;Southampton;Tottenham
E0;11;52338;0;20.09.2020;14:00;Newcastle;Brighton
E0;11;40853;0;20.09.2020;16:30;Chelsea;Liverpool
E0;11;32273;0;20.09.2020;19:00;Leicester;Burnley
E0;11;42682;0;21.09.2020;18:00;Aston Villa;Sheffield United
E0;11;32050;0;21.09.2020;20:15;Wolves;Man City
E0;11;31800;0;26.09.2020;12:30;Brighton;Man United
E0;11;26047;0;26.09.2020;15:00;Crystal Palace;Everton
E0;11;26850;0;26.09.2020;17:30;West Brom;Chelsea
E0;11;21994;0;26.09.2020;20:00;Burnley;Southampton
E0;11;32702;0;27.09.2020;12:00;Sheffield United;Leeds
E0;11;62062;0;27.09.2020;14:00;Tottenham;Newcastle
E0;11;55017;0;27.09.2020;16:30;Man City;Leicester
E0;11;60000;0;27.09.2020;19:00;West Ham;Wolves
E0;11;19000;0;28.09.2020;17:45;Fulham;Aston Villa
E0;11;54074;0;28.09.2020;20:00;Liverpool;Arsenal
E0;11;40853;0;03.10.2020;12:30;Chelsea;Crystal Palace
E0;11;39571;0;03.10.2020;15:00;Everton;Brighton
E0;11;37890;0;03.10.2020;17:30;Leeds;Man City
E0;11;52338;0;03.10.2020;20:00;Newcastle;Burnley
E0;11;32273;0;04.10.2020;12:00;Leicester;West Ham
E0;11;32384;0;04.10.2020;12:00;Southampton;West Brom
E0;11;60704;0;04.10.2020;14:00;Arsenal;Sheffield United
E0;11;32050;0;04.10.2020;14:00;Wolves;Fulham
E0;11;74879;0;04.10.2020;16:30;Man United;Tottenham
E0;11;42682;0;04.10.2020;19:15;Aston Villa;Liverpool
E0;11;39571;0;17.10.2020;12:30;Everton;Liverpool
E0;11;40853;0;17.10.2020;15:00;Chelsea;Southampton
E0;11;55017;0;17.10.2020;17:30;Man City;Arsenal
E0;11;52338;0;17.10.2020;20:00;Newcastle;Man United
E0;11;32702;0;18.10.2020;12:00;Sheffield United;Fulham
E0;11;26047;0;18.10.2020;14:00;Crystal Palace;Brighton
E0;11;62062;0;18.10.2020;16:30;Tottenham;West Ham
E0;11;32273;0;18.10.2020;19:15;Leicester;Aston Villa
E0;11;26850;0;19.10.2020;17:30;West Brom;Burnley
E0;11;37890;0;19.10.2020;20:00;Leeds;Wolves
E0;11;42682;0;23.10.2020;20:00;Aston Villa;Leeds
E0;11;60000;0;24.10.2020;12:30;West Ham;Man City
E0;11;19000;0;24.10.2020;15:00;Fulham;Crystal Palace
E0;11;74879;0;24.10.2020;17:30;Man United;Chelsea
E0;11;54074;0;24.10.2020;20:00;Liverpool;Sheffield United
E0;11;32384;0;25.10.2020;14:00;Southampton;Everton
E0;11;32050;0;25.10.2020;16:30;Wolves;Newcastle
E0;11;60704;0;25.10.2020;19:15;Arsenal;Leicester
E0;11;31800;0;26.10.2020;17:30;Brighton;West Brom
E0;11;21994;0;26.10.2020;20:00;Burnley;Tottenham
E0;11;32050;0;30.10.2020;20:00;Wolves;Crystal Palace
E0;11;32702;0;31.10.2020;12:30;Sheffield United;Man City
E0;11;21994;0;31.10.2020;15:00;Burnley;Chelsea
E0;11;54074;0;31.10.2020;17:30;Liverpool;West Ham
E0;11;42682;0;01.11.2020;12:00;Aston Villa;Southampton
E0;11;52338;0;01.11.2020;14:00;Newcastle;Everton
E0;11;74879;0;01.11.2020;16:30;Man United;Arsenal
E0;11;62062;0;01.11.2020;19:15;Tottenham;Brighton
E0;11;19000;0;02.11.2020;17:30;Fulham;West Brom
E0;11;37890;0;02.11.2020;20:00;Leeds;Leicester
E0;11;31800;0;06.11.2020;17:30;Brighton;Burnley
E0;11;32384;0;06.11.2020;20:00;Southampton;Newcastle
E0;11;39571;0;07.11.2020;12:30;Everton;Man United
E0;11;26047;0;07.11.2020;15:00;Crystal Palace;Leeds
E0;11;40853;0;07.11.2020;17:30;Chelsea;Sheffield United
E0;11;60000;0;07.11.2020;20:00;West Ham;Fulham
E0;11;26850;0;08.11.2020;12:00;West Brom;Tottenham
E0;11;32273;0;08.11.2020;14:00;Leicester;Wolves
E0;11;55017;0;08.11.2020;16:30;Man City;Liverpool
E0;11;60704;0;08.11.2020;19:15;Arsenal;Aston Villa
E0;11;52338;0;21.11.2020;12:30;Newcastle;Chelsea
E0;11;42682;0;21.11.2020;15:00;Aston Villa;Brighton
E0;11;62062;0;21.11.2020;17:30;Tottenham;Man City
E0;11;74879;0;21.11.2020;20:00;Man United;West Brom
E0;11;19000;0;22.11.2020;12:00;Fulham;Everton
E0;11;32702;0;22.11.2020;14:00;Sheffield United;West Ham
E0;11;37890;0;22.11.2020;16:30;Leeds;Arsenal
E0;11;54074;0;22.11.2020;19:15;Liverpool;Leicester
E0;11;21994;0;23.11.2020;17:30;Burnley;Crystal Palace
E0;11;32050;0;23.11.2020;20:00;Wolves;Southampton
E0;11;26047;0;27.11.2020;20:00;Crystal Palace;Newcastle
E0;11;31800;0;28.11.2020;12:30;Brighton;Liverpool
E0;11;55017;0;28.11.2020;15:00;Man City;Burnley
E0;11;39571;0;28.11.2020;17:30;Everton;Leeds
E0;11;26850;0;28.11.2020;20:00;West Brom;Sheffield United
E0;11;32384;0;29.11.2020;14:00;Southampton;Man United
E0;11;40853;0;29.11.2020;16:30;Chelsea;Tottenham
E0;11;60704;0;29.11.2020;19:15;Arsenal;Wolves
E0;11;32273;0;30.11.2020;17:30;Leicester;Fulham
E0;11;60000;0;30.11.2020;20:00;West Ham;Aston Villa
E0;11;21994;0;05.12.2020;12:30;Burnley;Everton
E0;11;55017;0;05.12.2020;15:00;Man City;Fulham
E0;11;60000;2000;05.12.2020;17:30;West Ham;Man United
E0;11;40853;0;05.12.2020;20:00;Chelsea;Leeds
E0;11;26850;0;06.12.2020;12:00;West Brom;Crystal Palace
E0;11;32702;0;06.12.2020;14:15;Sheffield United;Leicester
E0;11;62062;2000;06.12.2020;16:30;Tottenham;Arsenal
E0;11;54074;2000;06.12.2020;19:15;Liverpool;Wolves
E0;11;31800;0;07.12.2020;20:00;Brighton;Southampton
E0;11;37890;0;11.12.2020;20:00;Leeds;West Ham
E0;11;32050;0;12.12.2020;12:30;Wolves;Aston Villa
E0;11;52338;0;12.12.2020;15:00;Newcastle;West Brom
E0;11;74879;0;12.12.2020;17:30;Man United;Man City
E0;11;39571;0;12.12.2020;20:00;Everton;Chelsea
E0;11;32384;2000;13.12.2020;12:00;Southampton;Sheffield United
E0;11;26047;0;13.12.2020;14:15;Crystal Palace;Tottenham
E0;11;19000;0;13.12.2020;16:30;Fulham;Liverpool
E0;11;60704;0;13.12.2020;19:15;Arsenal;Burnley
E0;11;32273;0;13.12.2020;19:15;Leicester;Brighton
E0;11;32050;0;15.12.2020;18:00;Wolves;Chelsea
E0;11;55017;0;15.12.2020;20:00;Man City;West Brom
E0;11;60704;0;16.12.2020;18:00;Arsenal;Southampton
E0;11;37890;0;16.12.2020;18:00;Leeds;Newcastle
E0;11;32273;0;16.12.2020;18:00;Leicester;Everton
E0;11;19000;0;16.12.2020;20:00;Fulham;Brighton
E0;11;54074;2000;16.12.2020;20:00;Liverpool;Tottenham
E0;11;60000;0;16.12.2020;20:00;West Ham;Crystal Palace
E0;11;42682;0;17.12.2020;18:00;Aston Villa;Burnley
E0;11;32702;0;17.12.2020;20:00;Sheffield United;Man United
E0;11;26047;0;19.12.2020;12:30;Crystal Palace;Liverpool
E0;11;32384;2000;19.12.2020;15:00;Southampton;Man City
E0;11;39571;0;19.12.2020;17:30;Everton;Arsenal
E0;11;52338;0;19.12.2020;20:00;Newcastle;Fulham
E0;11;31800;0;20.12.2020;12:00;Brighton;Sheffield United
E0;11;62062;0;20.12.2020;14:15;Tottenham;Leicester
E0;11;74879;0;20.12.2020;16:30;Man United;Leeds
E0;11;26850;0;20.12.2020;19:15;West Brom;Aston Villa
E0;11;21994;0;21.12.2020;17:30;Burnley;Wolves
E0;11;40853;0;21.12.2020;20:00;Chelsea;West Ham
E0;11;32273;0;26.12.2020;12:30;Leicester;Man United
E0;11;42682;0;26.12.2020;15:00;Aston Villa;Crystal Palace
E0;11;19000;0;26.12.2020;15:00;Fulham;Southampton
E0;11;60704;0;26.12.2020;17:30;Arsenal;Chelsea
E0;11;55017;0;26.12.2020;20:00;Man City;Newcastle
E0;11;32702;0;26.12.2020;20:00;Sheffield United;Everton
