Div;Season;Capacity;Spectators;Date;HomeTeam;AwayTeam
E0;4;60704;59487;17.08.2013;Arsenal;Aston Villa
E0;4;45000;44671;17.08.2013;Liverpool;Stoke
E0;4;27244;26805;17.08.2013;Norwich;Everton
E0;4;48707;41090;17.08.2013;Sunderland;Fulham
E0;4;21088;20407;17.08.2013;Swansea;Man United
E0;4;26850;25194;17.08.2013;West Brom;Southampton
E0;4;35345;34197;17.08.2013;West Ham;Cardiff
E0;4;42000;41482;18.08.2013;Chelsea;Hull
E0;4;26047;24114;18.08.2013;Crystal Palace;Tottenham
E0;4;48000;47080;19.08.2013;Man City;Newcastle
E0;4;42000;41482;21.08.2013;Chelsea;Aston Villa
E0;4;42682;36081;24.08.2013;Aston Villa;Liverpool
E0;4;39571;37732;24.08.2013;Everton;West Brom
E0;4;25000;24977;24.08.2013;Fulham;Arsenal
E0;4;24983;24117;24.08.2013;Hull;Norwich
E0;4;52338;50395;24.08.2013;Newcastle;West Ham
E0;4;32384;30212;24.08.2013;Southampton;Sunderland
E0;4;30089;26137;24.08.2013;Stoke;Crystal Palace
E0;4;33280;27430;25.08.2013;Cardiff;Man City
E0;4;36284;35808;25.08.2013;Tottenham;Swansea
E0;4;75500;75207;26.08.2013;Man United;Chelsea
E0;4;33280;27430;31.08.2013;Cardiff;Everton
E0;4;26047;24114;31.08.2013;Crystal Palace;Sunderland
E0;4;48000;47080;31.08.2013;Man City;Hull
E0;4;52338;50395;31.08.2013;Newcastle;Fulham
E0;4;27244;26805;31.08.2013;Norwich;Southampton
E0;4;35345;34197;31.08.2013;West Ham;Stoke
E0;4;60704;59487;01.09.2013;Arsenal;Tottenham
E0;4;45000;44671;01.09.2013;Liverpool;Man United
E0;4;26850;25194;01.09.2013;West Brom;Swansea
E0;4;42682;36081;14.09.2013;Aston Villa;Newcastle
E0;4;39571;37732;14.09.2013;Everton;Chelsea
E0;4;25000;24977;14.09.2013;Fulham;West Brom
E0;4;24983;24117;14.09.2013;Hull;Cardiff
E0;4;75500;75207;14.09.2013;Man United;Crystal Palace
E0;4;30089;26137;14.09.2013;Stoke;Man City
E0;4;48707;41090;14.09.2013;Sunderland;Arsenal
E0;4;36284;35808;14.09.2013;Tottenham;Norwich
E0;4;32384;30212;15.09.2013;Southampton;West Ham
E0;4;21088;20407;16.09.2013;Swansea;Liverpool
E0;4;42000;41482;21.09.2013;Chelsea;Fulham
E0;4;45000;44671;21.09.2013;Liverpool;Southampton
E0;4;52338;50395;21.09.2013;Newcastle;Hull
E0;4;27244;26805;21.09.2013;Norwich;Aston Villa
E0;4;26850;25194;21.09.2013;West Brom;Sunderland
E0;4;35345;34197;21.09.2013;West Ham;Everton
E0;4;60704;59487;22.09.2013;Arsenal;Stoke
E0;4;33280;27430;22.09.2013;Cardiff;Tottenham
E0;4;26047;24114;22.09.2013;Crystal Palace;Swansea
E0;4;48000;47080;22.09.2013;Man City;Man United
E0;4;42682;36081;28.09.2013;Aston Villa;Man City
E0;4;25000;24977;28.09.2013;Fulham;Cardiff
E0;4;24983;24117;28.09.2013;Hull;West Ham
E0;4;75500;75207;28.09.2013;Man United;West Brom
E0;4;32384;30212;28.09.2013;Southampton;Crystal Palace
E0;4;21088;20407;28.09.2013;Swansea;Arsenal
E0;4;36284;35808;28.09.2013;Tottenham;Chelsea
E0;4;30089;26137;29.09.2013;Stoke;Norwich
E0;4;48707;41090;29.09.2013;Sunderland;Liverpool
E0;4;39571;37732;30.09.2013;Everton;Newcastle
E0;4;33280;27430;05.10.2013;Cardiff;Newcastle
E0;4;25000;24977;05.10.2013;Fulham;Stoke
E0;4;24983;24117;05.10.2013;Hull;Aston Villa
E0;4;45000;44671;05.10.2013;Liverpool;Crystal Palace
E0;4;48000;47080;05.10.2013;Man City;Everton
E0;4;48707;41090;05.10.2013;Sunderland;Man United
E0;4;27244;26805;06.10.2013;Norwich;Chelsea
E0;4;32384;30212;06.10.2013;Southampton;Swansea
E0;4;36284;35808;06.10.2013;Tottenham;West Ham
E0;4;26850;25194;06.10.2013;West Brom;Arsenal
E0;4;60704;59487;19.10.2013;Arsenal;Norwich
E0;4;42000;41482;19.10.2013;Chelsea;Cardiff
E0;4;39571;37732;19.10.2013;Everton;Hull
E0;4;75500;75207;19.10.2013;Man United;Southampton
E0;4;52338;50395;19.10.2013;Newcastle;Liverpool
E0;4;30089;26137;19.10.2013;Stoke;West Brom
E0;4;21088;20407;19.10.2013;Swansea;Sunderland
E0;4;35345;34197;19.10.2013;West Ham;Man City
E0;4;42682;36081;20.10.2013;Aston Villa;Tottenham
E0;4;26047;24114;21.10.2013;Crystal Palace;Fulham
E0;4;42682;36081;26.10.2013;Aston Villa;Everton
E0;4;26047;24114;26.10.2013;Crystal Palace;Arsenal
E0;4;45000;44671;26.10.2013;Liverpool;West Brom
E0;4;75500;75207;26.10.2013;Man United;Stoke
E0;4;27244;26805;26.10.2013;Norwich;Cardiff
E0;4;32384;30212;26.10.2013;Southampton;Fulham
E0;4;42000;41482;27.10.2013;Chelsea;Man City
E0;4;48707;41090;27.10.2013;Sunderland;Newcastle
E0;4;21088;20407;27.10.2013;Swansea;West Ham
E0;4;36284;35808;27.10.2013;Tottenham;Hull
E0;4;60704;59487;02.11.2013;Arsenal;Liverpool
E0;4;25000;24977;02.11.2013;Fulham;Man United
E0;4;24983;24117;02.11.2013;Hull;Sunderland
E0;4;48000;47080;02.11.2013;Man City;Norwich
E0;4;52338;50395;02.11.2013;Newcastle;Chelsea
E0;4;30089;26137;02.11.2013;Stoke;Southampton
E0;4;26850;25194;02.11.2013;West Brom;Crystal Palace
E0;4;35345;34197;02.11.2013;West Ham;Aston Villa
E0;4;33280;27430;03.11.2013;Cardiff;Swansea
E0;4;39571;37732;03.11.2013;Everton;Tottenham
E0;4;42682;36081;09.11.2013;Aston Villa;Cardiff
E0;4;42000;41482;09.11.2013;Chelsea;West Brom
E0;4;26047;24114;09.11.2013;Crystal Palace;Everton
E0;4;45000;44671;09.11.2013;Liverpool;Fulham
E0;4;27244;26805;09.11.2013;Norwich;West Ham
E0;4;32384;30212;09.11.2013;Southampton;Hull
E0;4;75500;75207;10.11.2013;Man United;Arsenal
E0;4;48707;41090;10.11.2013;Sunderland;Man City
E0;4;21088;20407;10.11.2013;Swansea;Stoke
E0;4;36284;35808;10.11.2013;Tottenham;Newcastle
E0;4;60704;59487;23.11.2013;Arsenal;Southampton
E0;4;39571;37732;23.11.2013;Everton;Liverpool
E0;4;25000;24977;23.11.2013;Fulham;Swansea
E0;4;24983;24117;23.11.2013;Hull;Crystal Palace
E0;4;52338;50395;23.11.2013;Newcastle;Norwich
E0;4;30089;26137;23.11.2013;Stoke;Sunderland
E0;4;35345;34197;23.11.2013;West Ham;Chelsea
E0;4;33280;27430;24.11.2013;Cardiff;Man United
E0;4;48000;47080;24.11.2013;Man City;Tottenham
E0;4;26850;25194;25.11.2013;West Brom;Aston Villa
E0;4;42682;36081;30.11.2013;Aston Villa;Sunderland
E0;4;33280;27430;30.11.2013;Cardiff;Arsenal
E0;4;39571;37732;30.11.2013;Everton;Stoke
E0;4;52338;50395;30.11.2013;Newcastle;West Brom
E0;4;27244;26805;30.11.2013;Norwich;Crystal Palace
E0;4;35345;34197;30.11.2013;West Ham;Fulham
E0;4;42000;41482;01.12.2013;Chelsea;Southampton
E0;4;24983;24117;01.12.2013;Hull;Liverpool
E0;4;48000;47080;01.12.2013;Man City;Swansea
E0;4;36284;35808;01.12.2013;Tottenham;Man United
E0;4;26047;24114;03.12.2013;Crystal Palace;West Ham
E0;4;60704;59487;04.12.2013;Arsenal;Hull
E0;4;25000;24977;04.12.2013;Fulham;Tottenham
E0;4;45000;44671;04.12.2013;Liverpool;Norwich
E0;4;75500;75207;04.12.2013;Man United;Everton
E0;4;32384;30212;04.12.2013;Southampton;Aston Villa
E0;4;30089;26137;04.12.2013;Stoke;Cardiff
E0;4;48707;41090;04.12.2013;Sunderland;Chelsea
