Div;Season;Capacity;Spectators;Date;HomeTeam;AwayTeam
E0;9;74879;74498;10.08.2018;Man United;Leicester
E0;9;11329;10532;11.08.2018;Bournemouth;Cardiff
E0;9;25000;24371;11.08.2018;Fulham;Crystal Palace
E0;9;24500;23201;11.08.2018;Huddersfield;Chelsea
E0;9;52338;51121;11.08.2018;Newcastle;Tottenham
E0;9;21577;20016;11.08.2018;Watford;Brighton
E0;9;32050;31030;11.08.2018;Wolves;Everton
E0;9;60704;59899;12.08.2018;Arsenal;Man City
E0;9;54074;52983;12.08.2018;Liverpool;West Ham
E0;9;32384;30139;12.08.2018;Southampton;Burnley
E0;9;33280;31413;18.08.2018;Cardiff;Newcastle
E0;9;40853;40437;18.08.2018;Chelsea;Arsenal
E0;9;39571;38780;18.08.2018;Everton;Southampton
E0;9;32273;31851;18.08.2018;Leicester;Wolves
E0;9;62062;54216;18.08.2018;Tottenham;Fulham
E0;9;60000;58336;18.08.2018;West Ham;Bournemouth
E0;9;31800;30426;19.08.2018;Brighton;Man United
E0;9;21994;20534;19.08.2018;Burnley;Watford
E0;9;55017;54130;19.08.2018;Man City;Huddersfield
E0;9;26047;25455;20.08.2018;Crystal Palace;Liverpool
E0;9;60704;59899;25.08.2018;Arsenal;West Ham
E0;9;11329;10532;25.08.2018;Bournemouth;Everton
E0;9;24500;23201;25.08.2018;Huddersfield;Cardiff
E0;9;54074;52983;25.08.2018;Liverpool;Brighton
E0;9;32384;30139;25.08.2018;Southampton;Leicester
E0;9;32050;31030;25.08.2018;Wolves;Man City
E0;9;25000;24371;26.08.2018;Fulham;Burnley
E0;9;52338;51121;26.08.2018;Newcastle;Chelsea
E0;9;21577;20016;26.08.2018;Watford;Crystal Palace
E0;9;74879;74498;27.08.2018;Man United;Tottenham
E0;9;31800;30426;01.09.2018;Brighton;Fulham
E0;9;40853;40437;01.09.2018;Chelsea;Bournemouth
E0;9;26047;25455;01.09.2018;Crystal Palace;Southampton
E0;9;39571;38780;01.09.2018;Everton;Huddersfield
E0;9;32273;31851;01.09.2018;Leicester;Liverpool
E0;9;55017;54130;01.09.2018;Man City;Newcastle
E0;9;60000;58336;01.09.2018;West Ham;Wolves
E0;9;21994;20534;02.09.2018;Burnley;Man United
E0;9;33280;31413;02.09.2018;Cardiff;Arsenal
E0;9;21577;20016;02.09.2018;Watford;Tottenham
E0;9;11329;10532;15.09.2018;Bournemouth;Leicester
E0;9;40853;40437;15.09.2018;Chelsea;Cardiff
E0;9;24500;23201;15.09.2018;Huddersfield;Crystal Palace
E0;9;55017;54130;15.09.2018;Man City;Fulham
E0;9;52338;51121;15.09.2018;Newcastle;Arsenal
E0;9;62062;54216;15.09.2018;Tottenham;Liverpool
E0;9;21577;20016;15.09.2018;Watford;Man United
E0;9;39571;38780;16.09.2018;Everton;West Ham
E0;9;32050;31030;16.09.2018;Wolves;Burnley
E0;9;32384;30139;17.09.2018;Southampton;Brighton
E0;9;31800;30426;22.09.2018;Brighton;Tottenham
E0;9;21994;20534;22.09.2018;Burnley;Bournemouth
E0;9;33280;31413;22.09.2018;Cardiff;Man City
E0;9;26047;25455;22.09.2018;Crystal Palace;Newcastle
E0;9;25000;24371;22.09.2018;Fulham;Watford
E0;9;32273;31851;22.09.2018;Leicester;Huddersfield
E0;9;54074;52983;22.09.2018;Liverpool;Southampton
E0;9;74879;74498;22.09.2018;Man United;Wolves
E0;9;60704;59899;23.09.2018;Arsenal;Everton
E0;9;60000;58336;23.09.2018;West Ham;Chelsea
E0;9;60704;59899;29.09.2018;Arsenal;Watford
E0;9;40853;40437;29.09.2018;Chelsea;Liverpool
E0;9;39571;38780;29.09.2018;Everton;Fulham
E0;9;24500;23201;29.09.2018;Huddersfield;Tottenham
E0;9;55017;54130;29.09.2018;Man City;Brighton
E0;9;52338;51121;29.09.2018;Newcastle;Leicester
E0;9;60000;58336;29.09.2018;West Ham;Man United
E0;9;32050;31030;29.09.2018;Wolves;Southampton
E0;9;33280;31413;30.09.2018;Cardiff;Burnley
E0;9;11329;10532;01.10.2018;Bournemouth;Crystal Palace
E0;9;31800;30426;05.10.2018;Brighton;West Ham
E0;9;21994;20534;06.10.2018;Burnley;Huddersfield
E0;9;26047;25455;06.10.2018;Crystal Palace;Wolves
E0;9;32273;31851;06.10.2018;Leicester;Everton
E0;9;74879;74498;06.10.2018;Man United;Newcastle
E0;9;62062;54216;06.10.2018;Tottenham;Cardiff
E0;9;21577;20016;06.10.2018;Watford;Bournemouth
E0;9;25000;24371;07.10.2018;Fulham;Arsenal
E0;9;54074;52983;07.10.2018;Liverpool;Man City
E0;9;32384;30139;07.10.2018;Southampton;Chelsea
E0;9;11329;10532;20.10.2018;Bournemouth;Southampton
E0;9;33280;31413;20.10.2018;Cardiff;Fulham
E0;9;40853;40437;20.10.2018;Chelsea;Man United
E0;9;24500;23201;20.10.2018;Huddersfield;Liverpool
E0;9;55017;54130;20.10.2018;Man City;Burnley
E0;9;52338;51121;20.10.2018;Newcastle;Brighton
E0;9;60000;58336;20.10.2018;West Ham;Tottenham
E0;9;32050;31030;20.10.2018;Wolves;Watford
E0;9;39571;38780;21.10.2018;Everton;Crystal Palace
E0;9;60704;59899;22.10.2018;Arsenal;Leicester
E0;9;31800;30426;27.10.2018;Brighton;Wolves
E0;9;25000;24371;27.10.2018;Fulham;Bournemouth
