Div;Season;Capacity;Spectators;Date;HomeTeam;AwayTeam
E0;6;11239;11189;08.08.2015;Bournemouth;Aston Villa
E0;6;42000;41500;08.08.2015;Chelsea;Swansea
E0;6;39571;38124;08.08.2015;Everton;Watford
E0;6;32773;32021;08.08.2015;Leicester;Sunderland
E0;6;75500;75286;08.08.2015;Man United;Tottenham
E0;6;27244;26972;08.08.2015;Norwich;Crystal Palace
E0;6;60704;59944;09.08.2015;Arsenal;West Ham
E0;6;52338;49754;09.08.2015;Newcastle;Southampton
E0;6;30089;27534;09.08.2015;Stoke;Liverpool
E0;6;26850;24631;10.08.2015;West Brom;Man City
E0;6;42682;33690;14.08.2015;Aston Villa;Man United
E0;6;32384;30751;15.08.2015;Southampton;Everton
E0;6;48707;43071;15.08.2015;Sunderland;Norwich
E0;6;21088;20711;15.08.2015;Swansea;Newcastle
E0;6;36284;35776;15.08.2015;Tottenham;Stoke
E0;6;21577;20594;15.08.2015;Watford;West Brom
E0;6;35345;34910;15.08.2015;West Ham;Leicester
E0;6;26047;24636;16.08.2015;Crystal Palace;Arsenal
E0;6;55017;54041;16.08.2015;Man City;Chelsea
E0;6;45000;43910;17.08.2015;Liverpool;Bournemouth
E0;6;26047;24636;22.08.2015;Crystal Palace;Aston Villa
E0;6;32773;32021;22.08.2015;Leicester;Tottenham
E0;6;75500;75286;22.08.2015;Man United;Newcastle
E0;6;27244;26972;22.08.2015;Norwich;Stoke
E0;6;48707;43071;22.08.2015;Sunderland;Swansea
E0;6;35345;34910;22.08.2015;West Ham;Bournemouth
E0;6;39571;38124;23.08.2015;Everton;Man City
E0;6;21577;20594;23.08.2015;Watford;Southampton
E0;6;26850;24631;23.08.2015;West Brom;Chelsea
E0;6;60704;59944;24.08.2015;Arsenal;Liverpool
E0;6;42682;33690;29.08.2015;Aston Villa;Sunderland
E0;6;11239;11189;29.08.2015;Bournemouth;Leicester
E0;6;42000;41500;29.08.2015;Chelsea;Crystal Palace
E0;6;45000;43910;29.08.2015;Liverpool;West Ham
E0;6;55017;54041;29.08.2015;Man City;Watford
E0;6;52338;49754;29.08.2015;Newcastle;Arsenal
E0;6;30089;27534;29.08.2015;Stoke;West Brom
E0;6;36284;35776;29.08.2015;Tottenham;Everton
E0;6;32384;30751;30.08.2015;Southampton;Norwich
E0;6;21088;20711;30.08.2015;Swansea;Man United
E0;6;60704;59944;12.09.2015;Arsenal;Stoke
E0;6;26047;24636;12.09.2015;Crystal Palace;Man City
E0;6;39571;38124;12.09.2015;Everton;Chelsea
E0;6;75500;75286;12.09.2015;Man United;Liverpool
E0;6;27244;26972;12.09.2015;Norwich;Bournemouth
E0;6;21577;20594;12.09.2015;Watford;Swansea
E0;6;26850;24631;12.09.2015;West Brom;Southampton
E0;6;32773;32021;13.09.2015;Leicester;Aston Villa
E0;6;48707;43071;13.09.2015;Sunderland;Tottenham
E0;6;35345;34910;14.09.2015;West Ham;Newcastle
E0;6;42682;33690;19.09.2015;Aston Villa;West Brom
E0;6;11239;11189;19.09.2015;Bournemouth;Sunderland
E0;6;42000;41500;19.09.2015;Chelsea;Arsenal
E0;6;55017;54041;19.09.2015;Man City;West Ham
E0;6;52338;49754;19.09.2015;Newcastle;Watford
E0;6;30089;27534;19.09.2015;Stoke;Leicester
E0;6;21088;20711;19.09.2015;Swansea;Everton
E0;6;45000;43910;20.09.2015;Liverpool;Norwich
E0;6;32384;30751;20.09.2015;Southampton;Man United
E0;6;36284;35776;20.09.2015;Tottenham;Crystal Palace
E0;6;32773;32021;26.09.2015;Leicester;Arsenal
E0;6;45000;43910;26.09.2015;Liverpool;Aston Villa
E0;6;75500;75286;26.09.2015;Man United;Sunderland
E0;6;52338;49754;26.09.2015;Newcastle;Chelsea
E0;6;32384;30751;26.09.2015;Southampton;Swansea
E0;6;30089;27534;26.09.2015;Stoke;Bournemouth
E0;6;36284;35776;26.09.2015;Tottenham;Man City
E0;6;35345;34910;26.09.2015;West Ham;Norwich
E0;6;21577;20594;27.09.2015;Watford;Crystal Palace
E0;6;26850;24631;28.09.2015;West Brom;Everton
E0;6;42682;33690;03.10.2015;Aston Villa;Stoke
E0;6;11239;11189;03.10.2015;Bournemouth;Watford
E0;6;42000;41500;03.10.2015;Chelsea;Southampton
E0;6;26047;24636;03.10.2015;Crystal Palace;West Brom
E0;6;55017;54041;03.10.2015;Man City;Newcastle
E0;6;27244;26972;03.10.2015;Norwich;Leicester
E0;6;48707;43071;03.10.2015;Sunderland;West Ham
E0;6;60704;59944;04.10.2015;Arsenal;Man United
E0;6;39571;38124;04.10.2015;Everton;Liverpool
E0;6;21088;20711;04.10.2015;Swansea;Tottenham
E0;6;42000;41500;17.10.2015;Chelsea;Aston Villa
E0;6;26047;24636;17.10.2015;Crystal Palace;West Ham
E0;6;39571;38124;17.10.2015;Everton;Man United
E0;6;55017;54041;17.10.2015;Man City;Bournemouth
E0;6;32384;30751;17.10.2015;Southampton;Leicester
E0;6;36284;35776;17.10.2015;Tottenham;Liverpool
E0;6;21577;20594;17.10.2015;Watford;Arsenal
E0;6;26850;24631;17.10.2015;West Brom;Sunderland
E0;6;52338;49754;18.10.2015;Newcastle;Norwich
E0;6;21088;20711;19.10.2015;Swansea;Stoke
E0;6;60704;59944;24.10.2015;Arsenal;Everton
E0;6;42682;33690;24.10.2015;Aston Villa;Swansea
E0;6;32773;32021;24.10.2015;Leicester;Crystal Palace
E0;6;27244;26972;24.10.2015;Norwich;West Brom
E0;6;30089;27534;24.10.2015;Stoke;Watford
E0;6;35345;34910;24.10.2015;West Ham;Chelsea
E0;6;11239;11189;25.10.2015;Bournemouth;Tottenham
E0;6;45000;43910;25.10.2015;Liverpool;Southampton
E0;6;75500;75286;25.10.2015;Man United;Man City
E0;6;48707;43071;25.10.2015;Sunderland;Newcastle
E0;6;42000;41500;31.10.2015;Chelsea;Liverpool
E0;6;26047;24636;31.10.2015;Crystal Palace;Man United
E0;6;55017;54041;31.10.2015;Man City;Norwich
E0;6;52338;49754;31.10.2015;Newcastle;Stoke
E0;6;21088;20711;31.10.2015;Swansea;Arsenal
E0;6;21577;20594;31.10.2015;Watford;West Ham
E0;6;26850;24631;31.10.2015;West Brom;Leicester
E0;6;39571;38124;01.11.2015;Everton;Sunderland
E0;6;32384;30751;01.11.2015;Southampton;Bournemouth
E0;6;36284;35776;02.11.2015;Tottenham;Aston Villa
E0;6;11239;11189;07.11.2015;Bournemouth;Newcastle
E0;6;32773;32021;07.11.2015;Leicester;Watford
E0;6;75500;75286;07.11.2015;Man United;West Brom
E0;6;27244;26972;07.11.2015;Norwich;Swansea
E0;6;30089;27534;07.11.2015;Stoke;Chelsea
E0;6;48707;43071;07.11.2015;Sunderland;Southampton
E0;6;35345;34910;07.11.2015;West Ham;Everton
E0;6;60704;59944;08.11.2015;Arsenal;Tottenham
E0;6;42682;33690;08.11.2015;Aston Villa;Man City
E0;6;45000;43910;08.11.2015;Liverpool;Crystal Palace
E0;6;42000;41500;21.11.2015;Chelsea;Norwich
E0;6;39571;38124;21.11.2015;Everton;Aston Villa
E0;6;55017;54041;21.11.2015;Man City;Liverpool
E0;6;52338;49754;21.11.2015;Newcastle;Leicester
E0;6;32384;30751;21.11.2015;Southampton;Stoke
E0;6;21088;20711;21.11.2015;Swansea;Bournemouth
E0;6;21577;20594;21.11.2015;Watford;Man United
E0;6;26850;24631;21.11.2015;West Brom;Arsenal
E0;6;36284;35776;22.11.2015;Tottenham;West Ham
E0;6;26047;24636;23.11.2015;Crystal Palace;Sunderland
E0;6;42682;33690;28.11.2015;Aston Villa;Watford
E0;6;11239;11189;28.11.2015;Bournemouth;Everton
E0;6;26047;24636;28.11.2015;Crystal Palace;Newcastle
E0;6;32773;32021;28.11.2015;Leicester;Man United
E0;6;55017;54041;28.11.2015;Man City;Southampton
E0;6;48707;43071;28.11.2015;Sunderland;Stoke
E0;6;45000;43910;29.11.2015;Liverpool;Swansea
E0;6;27244;26972;29.11.2015;Norwich;Arsenal
