Div;Season;Capacity;Spectators;Date;HomeTeam;AwayTeam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;21088;19946;17.09.2011;Swansea;West Brom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;32050;25682;17.09.2011;Wolves;QPR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;25800;25293;18.09.2011;Fulham;Man City;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;75800;75387;18.09.2011;Man United;Chelsea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;48707;39095;18.09.2011;Sunderland;Stoke;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;36284;36026;18.09.2011;Tottenham;Liverpool;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;60704;60000;24.09.2011;Arsenal;Bolton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;42000;41478;24.09.2011;Chelsea;Swansea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;45000;44253;24.09.2011;Liverpool;Wolves;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;48000;47045;24.09.2011;Man City;Everton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;52338;49936;24.09.2011;Newcastle;Blackburn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;30089;27226;24.09.2011;Stoke;Man United;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;26850;24798;24.09.2011;West Brom;Fulham;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;25133;18634;24.09.2011;Wigan;Tottenham;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;18360;17295;25.09.2011;QPR;Aston Villa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;27244;26606;26.09.2011;Norwich;Sunderland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;42682;33873;01.10.2011;Aston Villa;Wigan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;31367;22551;01.10.2011;Blackburn;Man City;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;39571;33228;01.10.2011;Everton;Liverpool;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;75800;75387;01.10.2011;Man United;Norwich;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;48707;39095;01.10.2011;Sunderland;West Brom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;32050;25682;01.10.2011;Wolves;Newcastle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;28723;23670;02.10.2011;Bolton;Chelsea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;25800;25293;02.10.2011;Fulham;QPR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;21088;19946;02.10.2011;Swansea;Stoke;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;36284;36026;02.10.2011;Tottenham;Arsenal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;42000;41478;15.10.2011;Chelsea;Everton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;45000;44253;15.10.2011;Liverpool;Man United;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;48000;47045;15.10.2011;Man City;Aston Villa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;27244;26606;15.10.2011;Norwich;Swansea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;18360;17295;15.10.2011;QPR;Blackburn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;30089;27226;15.10.2011;Stoke;Fulham;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;25133;18634;15.10.2011;Wigan;Bolton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;60704;60000;16.10.2011;Arsenal;Sunderland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;52338;49936;16.10.2011;Newcastle;Tottenham;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;26850;24798;16.10.2011;West Brom;Wolves;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;42682;33873;22.10.2011;Aston Villa;West Brom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;28723;23670;22.10.2011;Bolton;Sunderland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;45000;44253;22.10.2011;Liverpool;Norwich;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;52338;49936;22.10.2011;Newcastle;Wigan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;32050;25682;22.10.2011;Wolves;Swansea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;60704;60000;23.10.2011;Arsenal;Stoke;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;31367;22551;23.10.2011;Blackburn;Tottenham;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;25800;25293;23.10.2011;Fulham;Everton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;75800;75387;23.10.2011;Man United;Man City;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;18360;17295;23.10.2011;QPR;Chelsea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;42000;41478;29.10.2011;Chelsea;Arsenal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;39571;33228;29.10.2011;Everton;Man United;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;48000;47045;29.10.2011;Man City;Wolves;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;27244;26606;29.10.2011;Norwich;Blackburn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;48707;39095;29.10.2011;Sunderland;Aston Villa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;21088;19946;29.10.2011;Swansea;Bolton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;26850;24798;29.10.2011;West Brom;Liverpool;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;25133;18634;29.10.2011;Wigan;Fulham;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;36284;36026;30.10.2011;Tottenham;QPR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;30089;27226;31.10.2011;Stoke;Newcastle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;60704;60000;05.11.2011;Arsenal;West Brom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;42682;33873;05.11.2011;Aston Villa;Norwich;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;31367;22551;05.11.2011;Blackburn;Chelsea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;45000;44253;05.11.2011;Liverpool;Swansea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;75800;75387;05.11.2011;Man United;Sunderland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;52338;49936;05.11.2011;Newcastle;Everton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;18360;17295;05.11.2011;QPR;Man City;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;28723;23670;06.11.2011;Bolton;Stoke;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;25800;25293;06.11.2011;Fulham;Tottenham;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;32050;25682;06.11.2011;Wolves;Wigan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;39571;33228;19.11.2011;Everton;Wolves;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
