Div;Season;Capacity;Spectators;Date;Time;HomeTeam;AwayTeam
E1;;;;11.09.2020;19:45;Watford;Middlesbrough
E1;;;;12.09.2020;12:30;Birmingham;Brentford
E1;;;;12.09.2020;12:30;Wycombe;Rotherham
E1;;;;12.09.2020;15:00;Barnsley;Luton
E1;;;;12.09.2020;15:00;Bournemouth;Blackburn
E1;;;;12.09.2020;15:00;Bristol City;Coventry
E1;;;;12.09.2020;15:00;Cardiff;Sheffield Weds
E1;;;;12.09.2020;15:00;Derby;Reading
E1;;;;12.09.2020;15:00;Huddersfield;Norwich
E1;;;;12.09.2020;15:00;Millwall;Stoke
E1;;;;12.09.2020;15:00;Preston;Swansea
E1;;;;12.09.2020;15:00;QPR;Nott'm Forest
E1;;;;18.09.2020;19:45;Coventry;QPR
E1;;;;19.09.2020;12:30;Nott'm Forest;Cardiff
E1;;;;19.09.2020;15:00;Blackburn;Wycombe
E1;;;;19.09.2020;15:00;Brentford;Huddersfield
E1;;;;19.09.2020;15:00;Luton;Derby
E1;;;;19.09.2020;15:00;Middlesbrough;Bournemouth
E1;;;;19.09.2020;15:00;Norwich;Preston
E1;;;;19.09.2020;15:00;Reading;Barnsley
E1;;;;19.09.2020;15:00;Rotherham;Millwall
E1;;;;19.09.2020;15:00;Sheffield Weds;Watford
E1;;;;19.09.2020;15:00;Swansea;Birmingham
E1;;;;20.09.2020;14:00;Stoke;Bristol City
E1;;;;25.09.2020;19:45;Huddersfield;Nott'm Forest
E1;;;;26.09.2020;12:30;Watford;Luton
E1;;;;26.09.2020;12:30;Wycombe;Swansea
E1;;;;26.09.2020;15:00;Barnsley;Coventry
E1;;;;26.09.2020;15:00;Birmingham;Rotherham
E1;;;;26.09.2020;15:00;Cardiff;Reading
E1;;;;26.09.2020;15:00;Derby;Blackburn
E1;;;;26.09.2020;15:00;Millwall;Brentford
E1;;;;26.09.2020;15:00;Preston;Stoke
E1;;;;26.09.2020;15:00;QPR;Middlesbrough
E1;;;;27.09.2020;13:00;Bristol City;Sheffield Weds
E1;;;;27.09.2020;16:00;Bournemouth;Norwich
E1;;;;02.10.2020;19:45;Coventry;Bournemouth
E1;;;;03.10.2020;12:30;Norwich;Derby
E1;;;;03.10.2020;15:00;Blackburn;Cardiff
E1;;;;03.10.2020;15:00;Luton;Wycombe
E1;;;;03.10.2020;15:00;Middlesbrough;Barnsley
E1;;;;03.10.2020;15:00;Nott'm Forest;Bristol City
E1;;;;03.10.2020;15:00;Reading;Watford
E1;;;;03.10.2020;15:00;Rotherham;Huddersfield
E1;;;;03.10.2020;15:00;Sheffield Weds;QPR
E1;;;;03.10.2020;15:00;Swansea;Millwall
E1;;;;04.10.2020;14:00;Brentford;Preston
E1;;;;04.10.2020;15:00;Stoke;Birmingham
E1;;;;16.10.2020;19:45;Derby;Watford
E1;;;;17.10.2020;15:00;Barnsley;Bristol City
E1;;;;17.10.2020;15:00;Birmingham;Sheffield Weds
E1;;;;17.10.2020;15:00;Blackburn;Nott'm Forest
