Div;Season;Capacity;Spectators;Date;HomeTeam;AwayTeam
E0;7;21994;20558;13.08.2016;Burnley;Swansea
E0;7;26047;25161;13.08.2016;Crystal Palace;West Brom
E0;7;39571;39310;13.08.2016;Everton;Tottenham
E0;7;24983;20761;13.08.2016;Hull;Leicester
E0;7;55017;54019;13.08.2016;Man City;Sunderland
E0;7;33746;30449;13.08.2016;Middlesbrough;Stoke
E0;7;32384;30936;13.08.2016;Southampton;Watford
E0;7;60704;59957;14.08.2016;Arsenal;Liverpool
E0;7;11329;11182;14.08.2016;Bournemouth;Man United
E0;7;42000;41508;15.08.2016;Chelsea;West Ham
E0;7;75500;75290;19.08.2016;Man United;Southampton
E0;7;21994;20558;20.08.2016;Burnley;Liverpool
E0;7;32273;31893;20.08.2016;Leicester;Arsenal
E0;7;30089;27433;20.08.2016;Stoke;Man City
E0;7;21088;20619;20.08.2016;Swansea;Hull
E0;7;36284;31639;20.08.2016;Tottenham;Crystal Palace
E0;7;21577;20571;20.08.2016;Watford;Chelsea
E0;7;26850;23876;20.08.2016;West Brom;Everton
E0;7;48707;41287;21.08.2016;Sunderland;Middlesbrough
E0;7;60000;56972;21.08.2016;West Ham;Bournemouth
E0;7;42000;41508;27.08.2016;Chelsea;Burnley
E0;7;26047;25161;27.08.2016;Crystal Palace;Bournemouth
E0;7;39571;39310;27.08.2016;Everton;Stoke
E0;7;24983;20761;27.08.2016;Hull;Man United
E0;7;32273;31893;27.08.2016;Leicester;Swansea
E0;7;32384;30936;27.08.2016;Southampton;Sunderland
E0;7;36284;31639;27.08.2016;Tottenham;Liverpool
E0;7;21577;20571;27.08.2016;Watford;Arsenal
E0;7;55017;54019;28.08.2016;Man City;West Ham
E0;7;26850;23876;28.08.2016;West Brom;Middlesbrough
E0;7;60704;59957;10.09.2016;Arsenal;Southampton
E0;7;11329;11182;10.09.2016;Bournemouth;West Brom
E0;7;21994;20558;10.09.2016;Burnley;Hull
E0;7;54074;53016;10.09.2016;Liverpool;Leicester
E0;7;75500;75290;10.09.2016;Man United;Man City
E0;7;33746;30449;10.09.2016;Middlesbrough;Crystal Palace
E0;7;30089;27433;10.09.2016;Stoke;Tottenham
E0;7;60000;56972;10.09.2016;West Ham;Watford
E0;7;21088;20619;11.09.2016;Swansea;Chelsea
E0;7;48707;41287;12.09.2016;Sunderland;Everton
E0;7;42000;41508;16.09.2016;Chelsea;Liverpool
E0;7;39571;39310;17.09.2016;Everton;Middlesbrough
E0;7;24983;20761;17.09.2016;Hull;Arsenal
E0;7;32273;31893;17.09.2016;Leicester;Burnley
E0;7;55017;54019;17.09.2016;Man City;Bournemouth
E0;7;26850;23876;17.09.2016;West Brom;West Ham
E0;7;26047;25161;18.09.2016;Crystal Palace;Stoke
E0;7;32384;30936;18.09.2016;Southampton;Swansea
E0;7;36284;31639;18.09.2016;Tottenham;Sunderland
E0;7;21577;20571;18.09.2016;Watford;Man United
E0;7;60704;59957;24.09.2016;Arsenal;Chelsea
E0;7;11329;11182;24.09.2016;Bournemouth;Everton
E0;7;54074;53016;24.09.2016;Liverpool;Hull
E0;7;75500;75290;24.09.2016;Man United;Leicester
E0;7;33746;30449;24.09.2016;Middlesbrough;Tottenham
E0;7;30089;27433;24.09.2016;Stoke;West Brom
